dataset,category_set,set_size,support,support_ratio
pog,126c091a8ff171f694733a624089e68a|46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b|a6cd655d1645f38869be793d5fb194cb,5,2,0.0001
pog,12ba81fb3ad68ad5b21e4cec7be42666|83fb64f0af37f88a42f311549fb261cb|9fa5c6beaf93259bc3dcd4ead2b3397f,3,2,0.0001
pog,126c091a8ff171f694733a624089e68a|44187dfef4ed2dd3669957cc9592514e|a6cd655d1645f38869be793d5fb194cb,3,2,0.0001
pog,2450d5bfc87a1f5b96e2837f5c87a70c|2b28f4772c30b8544c742f6a349a06b3|a68b85f0e84cbac87f49f5483e16fb6d,3,2,0.0001
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|6eb82f81b7105a1112fec1bb3c8dd62b|77c9c3bb3736bf7ba3a3d36b532f6962,4,2,0.0001
pog,3afab60a60abe737c6b12772e0fcec0a|95c3a26ab13f3ec5cd28a281e3685e7b|bc11aa63d5a69b1b0f90c34fd2c62102|fc528592c3858f90196fbfacc814f235,4,2,0.0001
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|46eacb79120159c0d446c08e1f671b0f|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|2deec110140f47a0a9b9fddf744f956e|7c3f3d05228e2ee51736f64757cfb385|c6342df4744ae61888fa993d281972d7,4,2,0.0001
pog,2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|841c8877534da01768696cd2375bab70|de802e3a05e11e88ddd894aa58e0f4d9,4,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b|a6cd655d1645f38869be793d5fb194cb,4,2,0.0001
pog,8585a77eaebc91282b433359863cb569|b5512b7b61119e0a76d1f6b3bd6d2b94|de802e3a05e11e88ddd894aa58e0f4d9,3,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|de802e3a05e11e88ddd894aa58e0f4d9,4,2,0.0001
pog,3afab60a60abe737c6b12772e0fcec0a|3e600277f4bf92983bf6fcb0ac09e0d7|77c9c3bb3736bf7ba3a3d36b532f6962|841c8877534da01768696cd2375bab70,4,2,0.0001
pog,022ab423f035b47ac0af5046c51ed093|8476c833956c74092868c24514562b0b|a6cd655d1645f38869be793d5fb194cb,3,2,0.0001
pog,23ee17885f87575534b44d099507a747|6eb82f81b7105a1112fec1bb3c8dd62b|a6cd655d1645f38869be793d5fb194cb,3,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|841c8877534da01768696cd2375bab70|b5512b7b61119e0a76d1f6b3bd6d2b94,3,2,0.0001
pog,1199c4654170f33208d7932d7d2587a5|126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,83fb64f0af37f88a42f311549fb261cb|9fa5c6beaf93259bc3dcd4ead2b3397f|f38776a72637f9103f9229c5f2c92e41,3,2,0.0001
pog,46eacb79120159c0d446c08e1f671b0f|8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c,3,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|3e600277f4bf92983bf6fcb0ac09e0d7|b608ccb44928992e75009892971acd46|de802e3a05e11e88ddd894aa58e0f4d9,4,2,0.0001
pog,58f1ddb77bfc5576db30fa20e53111fa|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46,3,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|7c3f3d05228e2ee51736f64757cfb385|814ed433f7b89cef654140214dfdaab5|83fb64f0af37f88a42f311549fb261cb,4,2,0.0001
pog,3e600277f4bf92983bf6fcb0ac09e0d7|58f1ddb77bfc5576db30fa20e53111fa|77c9c3bb3736bf7ba3a3d36b532f6962,3,2,0.0001
pog,8476c833956c74092868c24514562b0b|b608ccb44928992e75009892971acd46|de802e3a05e11e88ddd894aa58e0f4d9,3,2,0.0001
pog,022ab423f035b47ac0af5046c51ed093|852a581f78e4f4d7ecf9972a038e440c,2,2,0.0001
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|46eacb79120159c0d446c08e1f671b0f|95c3a26ab13f3ec5cd28a281e3685e7b|fbf269b6cc339b080853c548156a1050,5,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|3e600277f4bf92983bf6fcb0ac09e0d7|46eacb79120159c0d446c08e1f671b0f|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,126c091a8ff171f694733a624089e68a|95c3a26ab13f3ec5cd28a281e3685e7b,2,2,0.0001
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|b5512b7b61119e0a76d1f6b3bd6d2b94|b608ccb44928992e75009892971acd46|c6ba1690407cbd175f036694488a914e,5,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46,3,2,0.0001
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|7b0b5e99f45560c0f83ee235d461ca04,4,2,0.0001
pog,022ab423f035b47ac0af5046c51ed093|126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|841c8877534da01768696cd2375bab70,4,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46|fbf269b6cc339b080853c548156a1050,4,2,0.0001
pog,856a563554cc6f5b2bac63e3e8ff10b5|dab681fd76ae76e9421f7378ed0ed11d|ecff24c1d93157b5c20fd73bb31faced,3,2,0.0001
pog,022ab423f035b47ac0af5046c51ed093|95c3a26ab13f3ec5cd28a281e3685e7b|a6cd655d1645f38869be793d5fb194cb|de802e3a05e11e88ddd894aa58e0f4d9,4,2,0.0001
pog,3afab60a60abe737c6b12772e0fcec0a|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46|bc11aa63d5a69b1b0f90c34fd2c62102,4,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|19125833f147d19800e3aa39ecfc76c2|2deec110140f47a0a9b9fddf744f956e|f38776a72637f9103f9229c5f2c92e41,4,2,0.0001
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|8585a77eaebc91282b433359863cb569|95c3a26ab13f3ec5cd28a281e3685e7b,5,2,0.0001
pog,83fb64f0af37f88a42f311549fb261cb|9e3e1aff5fca5f418e5e3679ff932c05|c6342df4744ae61888fa993d281972d7|f38776a72637f9103f9229c5f2c92e41,4,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|44187dfef4ed2dd3669957cc9592514e|814ed433f7b89cef654140214dfdaab5|c6342df4744ae61888fa993d281972d7,4,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|e89e92593584db62ee08a1502919819d|fc528592c3858f90196fbfacc814f235,3,2,0.0001
pog,2b28f4772c30b8544c742f6a349a06b3|6eb82f81b7105a1112fec1bb3c8dd62b|77c9c3bb3736bf7ba3a3d36b532f6962,3,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|72b059d86956ec93bbe2ae5a6622f4bd|c7d17d4d3b51ccfb89c4c0f40ae87262|dab681fd76ae76e9421f7378ed0ed11d,4,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|72b059d86956ec93bbe2ae5a6622f4bd|83fb64f0af37f88a42f311549fb261cb|c6342df4744ae61888fa993d281972d7,4,2,0.0001
pog,2b28f4772c30b8544c742f6a349a06b3|44187dfef4ed2dd3669957cc9592514e|a6cd655d1645f38869be793d5fb194cb,3,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|2deec110140f47a0a9b9fddf744f956e|6b0fd0d9ed161e73775d02021a82eebc,3,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|72b059d86956ec93bbe2ae5a6622f4bd|7b0b5e99f45560c0f83ee235d461ca04,3,2,0.0001
pog,23ee17885f87575534b44d099507a747|3e600277f4bf92983bf6fcb0ac09e0d7|8476c833956c74092868c24514562b0b|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,1199c4654170f33208d7932d7d2587a5|3afab60a60abe737c6b12772e0fcec0a|3e600277f4bf92983bf6fcb0ac09e0d7|95c3a26ab13f3ec5cd28a281e3685e7b,4,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|2deec110140f47a0a9b9fddf744f956e|72b059d86956ec93bbe2ae5a6622f4bd|9fa5c6beaf93259bc3dcd4ead2b3397f,4,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|58f1ddb77bfc5576db30fa20e53111fa|72b059d86956ec93bbe2ae5a6622f4bd|c5a37fdeb54701aa580971fcfe834201,4,2,0.0001
pog,95c3a26ab13f3ec5cd28a281e3685e7b|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46|bc11aa63d5a69b1b0f90c34fd2c62102,4,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|fc528592c3858f90196fbfacc814f235,4,2,0.0001
pog,23ee17885f87575534b44d099507a747|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|bc11aa63d5a69b1b0f90c34fd2c62102,4,2,0.0001
pog,1199c4654170f33208d7932d7d2587a5|3e600277f4bf92983bf6fcb0ac09e0d7|b608ccb44928992e75009892971acd46,3,2,0.0001
pog,852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb|b6f318187d9a7cf416a2e84fc24349aa,3,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|8476c833956c74092868c24514562b0b,4,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|19125833f147d19800e3aa39ecfc76c2|82462c11b65faedd60ec94210debc584|9e3e1aff5fca5f418e5e3679ff932c05,4,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46|de802e3a05e11e88ddd894aa58e0f4d9|fc528592c3858f90196fbfacc814f235,4,2,0.0001
pog,022ab423f035b47ac0af5046c51ed093|3e600277f4bf92983bf6fcb0ac09e0d7|95c3a26ab13f3ec5cd28a281e3685e7b,3,2,0.0001
pog,022ab423f035b47ac0af5046c51ed093|08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|b608ccb44928992e75009892971acd46,5,2,0.0001
pog,1199c4654170f33208d7932d7d2587a5|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|2450d5bfc87a1f5b96e2837f5c87a70c|852a581f78e4f4d7ecf9972a038e440c,3,2,0.0001
pog,2450d5bfc87a1f5b96e2837f5c87a70c|8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|83668c24f1cbd74fb8e01a243e79a3a0|b608ccb44928992e75009892971acd46,3,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|0ab410a4baf435f5b6496cb061c11dc1|852a581f78e4f4d7ecf9972a038e440c,3,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|2b28f4772c30b8544c742f6a349a06b3|fc528592c3858f90196fbfacc814f235,3,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a|46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c,4,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|72b059d86956ec93bbe2ae5a6622f4bd|82462c11b65faedd60ec94210debc584|83fb64f0af37f88a42f311549fb261cb|856a563554cc6f5b2bac63e3e8ff10b5,5,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb,5,2,0.0001
pog,126c091a8ff171f694733a624089e68a|19125833f147d19800e3aa39ecfc76c2|b608ccb44928992e75009892971acd46|c6ba1690407cbd175f036694488a914e,4,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|0ab410a4baf435f5b6496cb061c11dc1|126c091a8ff171f694733a624089e68a|a6cd655d1645f38869be793d5fb194cb,4,2,0.0001
pog,852a581f78e4f4d7ecf9972a038e440c|95c3a26ab13f3ec5cd28a281e3685e7b|b5512b7b61119e0a76d1f6b3bd6d2b94,3,2,0.0001
pog,1d14b937ef24d01520848534952cee70|83fb64f0af37f88a42f311549fb261cb|856a563554cc6f5b2bac63e3e8ff10b5,3,2,0.0001
pog,23ee17885f87575534b44d099507a747|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|fbf269b6cc339b080853c548156a1050,3,2,0.0001
pog,3e600277f4bf92983bf6fcb0ac09e0d7|852a581f78e4f4d7ecf9972a038e440c|8585a77eaebc91282b433359863cb569|95c3a26ab13f3ec5cd28a281e3685e7b,4,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|46eacb79120159c0d446c08e1f671b0f|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|856a563554cc6f5b2bac63e3e8ff10b5,2,2,0.0001
pog,3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|a6cd655d1645f38869be793d5fb194cb|bc11aa63d5a69b1b0f90c34fd2c62102,3,2,0.0001
pog,3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|95c3a26ab13f3ec5cd28a281e3685e7b|fbf269b6cc339b080853c548156a1050,5,2,0.0001
pog,2b28f4772c30b8544c742f6a349a06b3|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b,4,2,0.0001
pog,46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b|de802e3a05e11e88ddd894aa58e0f4d9,4,2,0.0001
pog,12ba81fb3ad68ad5b21e4cec7be42666|46eacb79120159c0d446c08e1f671b0f|fc528592c3858f90196fbfacc814f235,3,2,0.0001
pog,3afab60a60abe737c6b12772e0fcec0a|64fe11119537f0ea81cfb5e4d54b3c71|664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,5,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|2450d5bfc87a1f5b96e2837f5c87a70c|841c8877534da01768696cd2375bab70,3,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|58f1ddb77bfc5576db30fa20e53111fa|9fd21872baa91cc0713a7ee1d29529ca,3,2,0.0001
pog,126c091a8ff171f694733a624089e68a|6eb82f81b7105a1112fec1bb3c8dd62b|bc11aa63d5a69b1b0f90c34fd2c62102,3,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|de802e3a05e11e88ddd894aa58e0f4d9|fc528592c3858f90196fbfacc814f235,5,2,0.0001
pog,1199c4654170f33208d7932d7d2587a5|852a581f78e4f4d7ecf9972a038e440c|fc528592c3858f90196fbfacc814f235,3,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|58f1ddb77bfc5576db30fa20e53111fa|82462c11b65faedd60ec94210debc584,3,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|814ed433f7b89cef654140214dfdaab5|83fb64f0af37f88a42f311549fb261cb|9fd21872baa91cc0713a7ee1d29529ca,4,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|bc11aa63d5a69b1b0f90c34fd2c62102|de802e3a05e11e88ddd894aa58e0f4d9|fc528592c3858f90196fbfacc814f235,4,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|2450d5bfc87a1f5b96e2837f5c87a70c|3afab60a60abe737c6b12772e0fcec0a|44187dfef4ed2dd3669957cc9592514e,4,2,0.0001
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|44187dfef4ed2dd3669957cc9592514e|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b,5,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|19125833f147d19800e3aa39ecfc76c2|72b059d86956ec93bbe2ae5a6622f4bd|814ed433f7b89cef654140214dfdaab5|f38776a72637f9103f9229c5f2c92e41,5,2,0.0001
pog,23ee17885f87575534b44d099507a747|8476c833956c74092868c24514562b0b|b608ccb44928992e75009892971acd46,3,2,0.0001
pog,23ee17885f87575534b44d099507a747|a6cd655d1645f38869be793d5fb194cb|bc11aa63d5a69b1b0f90c34fd2c62102,3,2,0.0001
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|46eacb79120159c0d446c08e1f671b0f|8476c833956c74092868c24514562b0b,4,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|664162d351ab59ea042546db288bbf7c|de802e3a05e11e88ddd894aa58e0f4d9,3,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|6b0fd0d9ed161e73775d02021a82eebc|72b059d86956ec93bbe2ae5a6622f4bd|814ed433f7b89cef654140214dfdaab5,4,2,0.0001
pog,3afab60a60abe737c6b12772e0fcec0a|7b0b5e99f45560c0f83ee235d461ca04|b608ccb44928992e75009892971acd46,3,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|814ed433f7b89cef654140214dfdaab5|9fa5c6beaf93259bc3dcd4ead2b3397f|f38776a72637f9103f9229c5f2c92e41,4,2,0.0001
pog,022ab423f035b47ac0af5046c51ed093|08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a,3,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|7c3f3d05228e2ee51736f64757cfb385|83fb64f0af37f88a42f311549fb261cb,3,2,0.0001
pog,2450d5bfc87a1f5b96e2837f5c87a70c|b608ccb44928992e75009892971acd46|fbf269b6cc339b080853c548156a1050,3,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|58f1ddb77bfc5576db30fa20e53111fa|83fb64f0af37f88a42f311549fb261cb,3,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|46eacb79120159c0d446c08e1f671b0f|fc528592c3858f90196fbfacc814f235,3,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|841c8877534da01768696cd2375bab70,4,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|852a581f78e4f4d7ecf9972a038e440c|fc528592c3858f90196fbfacc814f235,3,2,0.0001
pog,126c091a8ff171f694733a624089e68a|5b971cf50885d3dc973bfc30a389361f|664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b,4,2,0.0001
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b|b6f318187d9a7cf416a2e84fc24349aa,5,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb|e89e92593584db62ee08a1502919819d,4,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|19125833f147d19800e3aa39ecfc76c2|c6342df4744ae61888fa993d281972d7|d2d96e58ef034b572fcf4e8c6d663b84,4,2,0.0001
pog,2b28f4772c30b8544c742f6a349a06b3|8476c833956c74092868c24514562b0b|95c3a26ab13f3ec5cd28a281e3685e7b,3,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|6eb82f81b7105a1112fec1bb3c8dd62b|852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,022ab423f035b47ac0af5046c51ed093|08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7,4,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|2450d5bfc87a1f5b96e2837f5c87a70c|3afab60a60abe737c6b12772e0fcec0a|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,188ff8c06949a640ea5ac102e60941ec|2450d5bfc87a1f5b96e2837f5c87a70c|3afab60a60abe737c6b12772e0fcec0a,3,2,0.0001
pog,2b28f4772c30b8544c742f6a349a06b3|3e600277f4bf92983bf6fcb0ac09e0d7|46eacb79120159c0d446c08e1f671b0f|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,126c091a8ff171f694733a624089e68a|8585a77eaebc91282b433359863cb569|95c3a26ab13f3ec5cd28a281e3685e7b,3,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|856a563554cc6f5b2bac63e3e8ff10b5|c6342df4744ae61888fa993d281972d7|f38776a72637f9103f9229c5f2c92e41,4,2,0.0001
pog,2450d5bfc87a1f5b96e2837f5c87a70c|852a581f78e4f4d7ecf9972a038e440c|b5512b7b61119e0a76d1f6b3bd6d2b94|b608ccb44928992e75009892971acd46,4,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|23ee17885f87575534b44d099507a747|46eacb79120159c0d446c08e1f671b0f,3,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|83668c24f1cbd74fb8e01a243e79a3a0|fc528592c3858f90196fbfacc814f235,3,2,0.0001
pog,3afab60a60abe737c6b12772e0fcec0a|664162d351ab59ea042546db288bbf7c|77c9c3bb3736bf7ba3a3d36b532f6962|fc528592c3858f90196fbfacc814f235,4,2,0.0001
pog,8476c833956c74092868c24514562b0b|a6cd655d1645f38869be793d5fb194cb|c6ba1690407cbd175f036694488a914e|de802e3a05e11e88ddd894aa58e0f4d9,4,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|72b059d86956ec93bbe2ae5a6622f4bd|814ed433f7b89cef654140214dfdaab5|f38776a72637f9103f9229c5f2c92e41,4,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c|95c3a26ab13f3ec5cd28a281e3685e7b|fc528592c3858f90196fbfacc814f235,5,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|2b28f4772c30b8544c742f6a349a06b3|64fe11119537f0ea81cfb5e4d54b3c71|664162d351ab59ea042546db288bbf7c,4,2,0.0001
pog,19125833f147d19800e3aa39ecfc76c2|83fb64f0af37f88a42f311549fb261cb|c7d17d4d3b51ccfb89c4c0f40ae87262|ecff24c1d93157b5c20fd73bb31faced,4,2,0.0001
pog,46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|95c3a26ab13f3ec5cd28a281e3685e7b|a6cd655d1645f38869be793d5fb194cb,5,2,0.0001
pog,126c091a8ff171f694733a624089e68a|77c9c3bb3736bf7ba3a3d36b532f6962|95c3a26ab13f3ec5cd28a281e3685e7b|a6cd655d1645f38869be793d5fb194cb,4,2,0.0001
pog,2deec110140f47a0a9b9fddf744f956e|82462c11b65faedd60ec94210debc584|83fb64f0af37f88a42f311549fb261cb|c6342df4744ae61888fa993d281972d7,4,2,0.0001
pog,2450d5bfc87a1f5b96e2837f5c87a70c|64fe11119537f0ea81cfb5e4d54b3c71|841c8877534da01768696cd2375bab70|95c3a26ab13f3ec5cd28a281e3685e7b,4,2,0.0001
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|7b0b5e99f45560c0f83ee235d461ca04,3,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|fc528592c3858f90196fbfacc814f235,4,2,0.0001
pog,0ab410a4baf435f5b6496cb061c11dc1|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb,3,2,0.0001
pog,852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46|bc11aa63d5a69b1b0f90c34fd2c62102|fc528592c3858f90196fbfacc814f235,4,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46|bc11aa63d5a69b1b0f90c34fd2c62102,4,2,0.0001
pog,126c091a8ff171f694733a624089e68a|6eb82f81b7105a1112fec1bb3c8dd62b|fbf269b6cc339b080853c548156a1050,3,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|12ba81fb3ad68ad5b21e4cec7be42666|9fa5c6beaf93259bc3dcd4ead2b3397f,3,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|19125833f147d19800e3aa39ecfc76c2|72b059d86956ec93bbe2ae5a6622f4bd|d2d96e58ef034b572fcf4e8c6d663b84,4,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|95c3a26ab13f3ec5cd28a281e3685e7b|a6cd655d1645f38869be793d5fb194cb|bc11aa63d5a69b1b0f90c34fd2c62102,5,2,0.0001
pog,b608ccb44928992e75009892971acd46|de802e3a05e11e88ddd894aa58e0f4d9,2,2,0.0001
pog,022ab423f035b47ac0af5046c51ed093|44187dfef4ed2dd3669957cc9592514e|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b,4,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|95c3a26ab13f3ec5cd28a281e3685e7b|bc11aa63d5a69b1b0f90c34fd2c62102|fc528592c3858f90196fbfacc814f235,5,2,0.0001
pog,08734b0d499542a3a0ae060fb5597d09|664162d351ab59ea042546db288bbf7c|b5512b7b61119e0a76d1f6b3bd6d2b94|fc528592c3858f90196fbfacc814f235,4,2,0.0001
pog,126c091a8ff171f694733a624089e68a|64fe11119537f0ea81cfb5e4d54b3c71|664162d351ab59ea042546db288bbf7c|fbf269b6cc339b080853c548156a1050,4,2,0.0001
pog,664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b|8476c833956c74092868c24514562b0b|b5512b7b61119e0a76d1f6b3bd6d2b94,4,2,0.0001
pog,03bfc1d4783966c69cc6aef8247e0103|19125833f147d19800e3aa39ecfc76c2|72b059d86956ec93bbe2ae5a6622f4bd|814ed433f7b89cef654140214dfdaab5|ecff24c1d93157b5c20fd73bb31faced,5,2,0.0001
pog,46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|b6f318187d9a7cf416a2e84fc24349aa,4,2,0.0001
